### MJDNOWprego_n120_M10000_v0.5_mu10_mu20_lambda3_S010_std10.1_std20.1_tmax1
i t x x2 x3 x4
1 0.1 10.017205 100.756158499999 1017.71803834585 10325.4042164945
2 0.5 10.0714575 103.521248340277 1086.4916518481 11653.0063118992
3 1 10.171415 107.728004999999 1189.66960399445 13731.4154868768
