### BSdrift_n40_M10000_v0.5_mu-0.8_S010_std0.1_tmax1
i t1 x1 t2 x2 t3 x3
132 0.1 9.05 0.5 6.85 1 4.7
133 0.1 9.2 0.5 6.25 1 4.175
134 0.1 9.7 0.5 7.275 1 4.55
135 0.1 9.725 0.5 7.175 1 4.825
136 0.1 8.75 0.5 5.9 1 4.45
137 0.1 9.55 0.5 7 1 5.175
138 0.1 8.65 0.5 5.975 1 4.05
139 0.1 9.4 0.5 6.375 1 4.25
140 0.1 9.325 0.5 7.475 1 5.125
141 0.1 9 0.5 6.25 1 4.65
142 0.1 9.05 0.5 6.825 1 5.175
143 0.1 9.225 0.5 7.3 1 4.725
144 0.1 9.25 0.5 7.2 1 4.875
145 0.1 9.1 0.5 6.6 1 4.1
146 0.1 8.825 0.5 7.175 1 5
147 0.1 9.275 0.5 6.8 1 4.2
148 0.1 8.95 0.5 6.325 1 4.625
149 0.1 9.625 0.5 6.55 1 4.7
150 0.1 9.25 0.5 7 1 4.5
151 0.1 8.925 0.5 5.825 1 3.825
152 0.1 9.05 0.5 6.425 1 4.75
153 0.1 9.175 0.5 6.525 1 4.2
154 0.1 9.125 0.5 6.475 1 4.475
155 0.1 9.175 0.5 6.825 1 4.375
156 0.1 9.075 0.5 6.275 1 4.65
157 0.1 9.075 0.5 7.3 1 5.225
158 0.1 9.575 0.5 7.175 1 4.75
159 0.1 9.05 0.5 5.9 1 4.3
160 0.1 9.825 0.5 7.025 1 5.4
161 0.1 9.1 0.5 6.975 1 5.3
162 0.1 9.05 0.5 6.45 1 4.2
163 0.1 8.7 0.5 5.725 1 3.35
164 0.1 9.4 0.5 6.6 1 4.425
165 0.1 9.525 0.5 6.975 1 5.125
166 0.1 9.125 0.5 7.225 1 4.875
167 0.1 8.75 0.5 6.275 1 3.9
168 0.1 8.9 0.5 5.9 1 4.175
169 0.1 9 0.5 6.1 1 4.15
170 0.1 8.825 0.5 6.325 1 3.875
171 0.1 9.125 0.5 6.65 1 4.35
172 0.1 9 0.5 7.2 1 4.95
173 0.1 9.325 0.5 6.675 1 4.8
174 0.1 9.375 0.5 6.95 1 4.075
175 0.1 9.575 0.5 7.3 1 4.85
176 0.1 9.275 0.5 5.975 1 4.025
177 0.1 9.25 0.5 6.1 1 3.775
178 0.1 9.15 0.5 7.5 1 5.225
179 0.1 8.95 0.5 6.5 1 4.325
180 0.1 9.5 0.5 7.375 1 4.7
181 0.1 9.15 0.5 6.975 1 4.4
182 0.1 9.6 0.5 7.325 1 5.475
183 0.1 10 0.5 6.8 1 4.625
184 0.1 9.4 0.5 6.8 1 4.65
185 0.1 9.175 0.5 6.75 1 3.95
186 0.1 8.6 0.5 6.1 1 4.05
187 0.1 9.575 0.5 7.55 1 5.05
188 0.1 8.725 0.5 6.15 1 3.85
189 0.1 9.65 0.5 6.875 1 4.45
190 0.1 8.65 0.5 6.2 1 3.975
191 0.1 9.1 0.5 6.325 1 3.775
192 0.1 9.4 0.5 6.55 1 4.7
193 0.1 9.2 0.5 6.45 1 3.95
194 0.1 9.2 0.5 5.625 1 3.725
195 0.1 9.2 0.5 7.125 1 4.625
196 0.1 8.825 0.5 6.525 1 4.825
197 0.1 9.725 0.5 6.975 1 4.675
198 0.1 9.775 0.5 6.975 1 4.575
199 0.1 9.35 0.5 6.4 1 3.95
200 0.1 9.425 0.5 7.2 1 4.425
201 0.1 9.4 0.5 6.075 1 3.825
202 0.1 8.95 0.5 6.375 1 3.525
203 0.1 9.475 0.5 6.425 1 4.2
204 0.1 9.825 0.5 6.425 1 4.275
205 0.1 9.425 0.5 7.65 1 5.025
206 0.1 9.4 0.5 7.575 1 5.2
207 0.1 9.35 0.5 6.875 1 4.15
208 0.1 9.175 0.5 6.525 1 3.725
209 0.1 9.3 0.5 6.975 1 4.475
210 0.1 8.975 0.5 7.275 1 4.925
211 0.1 9.35 0.5 6.475 1 3.85
212 0.1 9.525 0.5 6.15 1 4.675
213 0.1 8.8 0.5 6.1 1 4.175
214 0.1 9.125 0.5 7.7 1 4.975
215 0.1 8.975 0.5 6.05 1 4.3
216 0.1 9.8 0.5 7 1 4.65
217 0.1 9.35 0.5 6.9 1 4.7
218 0.1 9.175 0.5 6.45 1 4.1
219 0.1 9.175 0.5 6.275 1 4.225
220 0.1 9.45 0.5 6.5 1 4.475
221 0.1 9.15 0.5 6.75 1 4.35
222 0.1 9.725 0.5 6.725 1 4.475
223 0.1 8.625 0.5 6.45 1 4.5
224 0.1 9.65 0.5 6.125 1 3.725
225 0.1 8.8 0.5 6.05 1 4.15
226 0.1 9.275 0.5 7 1 4.45
227 0.1 9.3 0.5 6.7 1 4.575
228 0.1 9.35 0.5 6.65 1 4
229 0.1 9.275 0.5 6.65 1 4.75
230 0.1 8.825 0.5 6.125 1 4.175
231 0.1 9.025 0.5 6.35 1 3.55
232 0.1 9.475 0.5 6.675 1 4.25
233 0.1 9.25 0.5 6.375 1 4.9
234 0.1 9.05 0.5 6.8 1 4.6
235 0.1 9.35 0.5 6.95 1 4.575
236 0.1 9.05 0.5 6.15 1 3.85
237 0.1 9.125 0.5 6.525 1 4.25
238 0.1 9.025 0.5 5.575 1 4
239 0.1 9.75 0.5 6.6 1 4.3
240 0.1 9.3 0.5 7.1 1 4.9
241 0.1 9.025 0.5 6.425 1 4.125
242 0.1 8.95 0.5 7.6 1 5.025
243 0.1 9.4 0.5 6.875 1 5.1
244 0.1 9.025 0.5 6.525 1 4.2
245 0.1 8.875 0.5 6 1 3.675
246 0.1 9.425 0.5 7.6 1 4.575
247 0.1 9.25 0.5 6.625 1 4.2
248 0.1 9.575 0.5 7.025 1 4.75
249 0.1 8.75 0.5 5.675 1 3.575
250 0.1 8.825 0.5 6.325 1 4.625
251 0.1 9.35 0.5 6.525 1 4
252 0.1 9.575 0.5 7.475 1 5
253 0.1 8.825 0.5 6.275 1 3.975
254 0.1 8.775 0.5 5.75 1 4.375
255 0.1 9.275 0.5 7.65 1 4.65
256 0.1 8.875 0.5 7 1 4.425
257 0.1 8.775 0.5 6.35 1 4.725
258 0.1 9.625 0.5 6.725 1 4.375
259 0.1 9.4 0.5 6.625 1 4.3
260 0.1 9.875 0.5 6.525 1 3.925
261 0.1 8.625 0.5 5.95 1 3.85
262 0.1 8.775 0.5 6.125 1 4.35
263 0.1 9.55 0.5 7.15 1 4.3
264 0.1 9.525 0.5 6.975 1 4.75
265 0.1 9.55 0.5 7.075 1 4.75
266 0.1 9.275 0.5 7.05 1 4.625
267 0.1 9.1 0.5 6.65 1 3.95
268 0.1 9.525 0.5 7.55 1 4.975
269 0.1 8.675 0.5 6.475 1 4.525
270 0.1 9.175 0.5 7.15 1 5.225
271 0.1 8.975 0.5 6.975 1 4.95
272 0.1 9.15 0.5 6.325 1 3.8
273 0.1 9.4 0.5 7 1 4.025
274 0.1 9.175 0.5 6.475 1 4.275
275 0.1 9.25 0.5 5.9 1 4.2
276 0.1 9.2 0.5 6.55 1 4.35
277 0.1 9.7 0.5 7.825 1 5.65
278 0.1 9.1 0.5 6.175 1 4.4
279 0.1 9.2 0.5 6.675 1 4.975
280 0.1 9.125 0.5 6.7 1 4.55
281 0.1 8.875 0.5 6.425 1 4.3
282 0.1 9.05 0.5 6.45 1 4.5
283 0.1 9.275 0.5 7.05 1 4.75
284 0.1 9.2 0.5 6.5 1 4.125
285 0.1 9.625 0.5 8.05 1 4.85
286 0.1 8.85 0.5 6.8 1 4.85
287 0.1 9.15 0.5 7.15 1 5.65
288 0.1 9.15 0.5 6.3 1 3.95
289 0.1 9.65 0.5 7.175 1 4.5
290 0.1 9.375 0.5 6.75 1 4.45
291 0.1 9.45 0.5 6.725 1 4.925
292 0.1 9.175 0.5 6.975 1 5.55
293 0.1 9.225 0.5 5.95 1 4.375
294 0.1 9.6 0.5 6.95 1 4.5
295 0.1 8.9 0.5 5.975 1 4.125
296 0.1 9.275 0.5 6.975 1 4.45
297 0.1 9.4 0.5 6.65 1 4.575
298 0.1 9 0.5 6.2 1 4.225
299 0.1 9.4 0.5 6.225 1 4.05
300 0.1 9.175 0.5 6.075 1 3.9
301 0.1 9.05 0.5 6.025 1 4.4
302 0.1 9.35 0.5 7.075 1 4.925
