### Donsken_stat_n120_M10000_mean5_S050
i t1 x1 t2 x2 t3 x3
1 0.1 50.5353333333333 0.5 51.1166666666667 1 53.55
2 0.1 50.1853333333333 0.5 51.3666666666667 1 53.7
3 0.1 50.1186666666667 0.5 52.7 1 55.6166666666667
4 0.1 50.668666666666695 0.5 52.9166666666667 1 55.8166666666667
5 0.1 50.2686666666667 0.5 53.7666666666667 1 56.35
6 0.1 50.3686666666667 0.5 52.2166666666667 1 54.7666666666667
7 0.1 50.235333333333294 0.5 52.35 1 55.3
8 0.1 50.63533333333329 0.5 53.55 1 56.5833333333333
9 0.1 50.2686666666667 0.5 51.55 1 53.1666666666667
10 0.1 50.418666666666695 0.5 53 1 56.1666666666667
11 0.1 50.2853333333333 0.5 52.35 1 54.65
12 0.1 50.1186666666667 0.5 52.3 1 56.0833333333333
13 0.1 51.068666666666694 0.5 52.4 1 55.65
14 0.1 50.751999999999995 0.5 52.3666666666667 1 55.8666666666667
15 0.1 51.085333333333296 0.5 53.1666666666667 1 54.7166666666667
16 0.1 51.13533333333329 0.5 53.3 1 55.9666666666667
17 0.1 51.0353333333333 0.5 53.5333333333333 1 54.1
18 0.1 50.501999999999995 0.5 52.5833333333333 1 54.75
19 0.1 50.30199999999999 0.5 51.8 1 54.1666666666667
20 0.1 51.068666666666694 0.5 52.3166666666667 1 54.95
21 0.1 50.2853333333333 0.5 51.0833333333333 1 53.9833333333333
22 0.1 50.401999999999994 0.5 52.4333333333333 1 55.1833333333333
23 0.1 50.7686666666667 0.5 52.15 1 54.3
24 0.1 50.168666666666695 0.5 52.0166666666667 1 54.95
25 0.1 51.3686666666667 0.5 52.9 1 56.5666666666667
26 0.1 50.568666666666694 0.5 52.45 1 55.4166666666667
27 0.1 50.418666666666695 0.5 53.15 1 54.9333333333333
28 0.1 50.38533333333329 0.5 50.9 1 52.9833333333333
29 0.1 50.6853333333333 0.5 52.1333333333333 1 55.0833333333333
30 0.1 50.085333333333296 0.5 52.1166666666667 1 54.3
31 0.1 50.818666666666694 0.5 51.8 1 55.6666666666667
32 0.1 50.668666666666695 0.5 52.5166666666667 1 54.0833333333333
33 0.1 50.835333333333296 0.5 53.1666666666667 1 56.1166666666667
34 0.1 50.30199999999999 0.5 51.8 1 53.1333333333333
35 0.1 50.602 0.5 53.2833333333333 1 56.9833333333333
36 0.1 50.202 0.5 52.5333333333333 1 55.6666666666667
37 0.1 50.05199999999999 0.5 51.5666666666667 1 53.7
38 0.1 50.602 0.5 52.6 1 54.9
39 0.1 50.668666666666695 0.5 53.45 1 55.7666666666667
40 0.1 50.568666666666694 0.5 53.0333333333333 1 56.15
41 0.1 50.6186666666667 0.5 53.6833333333333 1 55.2
42 0.1 50.485333333333294 0.5 52.7666666666667 1 55.1
43 0.1 50.80199999999999 0.5 52.5833333333333 1 54.5833333333333
