### Donsken_stat_n40_M10000_mean5_S050
i t1 x1 t2 x2 t3 x3
133 0.1 51 0.5 53.45 1 55.5
134 0.1 50.5 0.5 52.5 1 55.7
135 0.1 50.35 0.5 51.25 1 54.15
136 0.1 50.8 0.5 52.7 1 56
137 0.1 50.4 0.5 52.65 1 54.65
138 0.1 50.45 0.5 52.05 1 54.15
139 0.1 50.45 0.5 52.7 1 54.9
140 0.1 49.9 0.5 51.2 1 51.9
141 0.1 50.4 0.5 52.55 1 55
142 0.1 49.85 0.5 52.25 1 55.15
143 0.1 50.2 0.5 51.3 1 54.1
144 0.1 51.15 0.5 52.95 1 55.95
145 0.1 50.5 0.5 52.3 1 54.2
146 0.1 51.15 0.5 52.8 1 55.95
147 0.1 49.75 0.5 52.4 1 55.6
148 0.1 50.85 0.5 52.55 1 54.2
149 0.1 50.3 0.5 51.9 1 54.1
150 0.1 50.75 0.5 52.75 1 55.5
151 0.1 51.05 0.5 53 1 54.1
152 0.1 50.5 0.5 52.4 1 53.85
153 0.1 50.45 0.5 51.95 1 56.5
154 0.1 50.25 0.5 53 1 54.8
155 0.1 50.65 0.5 53.1 1 56.5
156 0.1 50.55 0.5 51.1 1 53.5
157 0.1 50.75 0.5 52 1 55.15
158 0.1 50.05 0.5 52.55 1 54.5
159 0.1 50.65 0.5 52.4 1 53.6
160 0.1 50.7 0.5 53.2 1 55.55
161 0.1 50.55 0.5 53.95 1 55.7
162 0.1 50.1 0.5 51.7 1 53.75
163 0.1 49.85 0.5 51.65 1 53.5
164 0.1 50.15 0.5 51.85 1 54.05
165 0.1 50.55 0.5 52.25 1 54.8
166 0.1 50.4 0.5 52.3 1 54.1
167 0.1 50.6 0.5 52.85 1 55.95
168 0.1 50.5 0.5 51.85 1 54.9
169 0.1 50.6 0.5 52.65 1 54.2
170 0.1 51.1 0.5 52.8 1 56.1
171 0.1 50.7 0.5 52.85 1 54.55
172 0.1 50.55 0.5 52.85 1 54.85
173 0.1 50.55 0.5 52.45 1 54.85
174 0.1 50.4 0.5 52.1 1 55.3
175 0.1 51 0.5 52.8 1 55.55
176 0.1 50.3 0.5 50.45 1 54
177 0.1 50.55 0.5 51.75 1 54.7
178 0.1 50.55 0.5 52.7 1 54.4
179 0.1 50.1 0.5 52.95 1 56.25
180 0.1 50.1 0.5 51.45 1 53.9
181 0.1 50.4 0.5 52.05 1 54
182 0.1 50.4 0.5 53.45 1 56.85
183 0.1 50.45 0.5 52.95 1 54.95
184 0.1 50.9 0.5 52.25 1 53.95
185 0.1 49.95 0.5 51.2 1 54.05
186 0.1 50.55 0.5 51.85 1 54.55
187 0.1 50.3 0.5 52.3 1 54.9
188 0.1 50.6 0.5 52.1 1 54.55
189 0.1 50.25 0.5 52.65 1 56
190 0.1 50.65 0.5 52.2 1 53.45
191 0.1 50.75 0.5 52.6 1 55.75
192 0.1 50.15 0.5 51.4 1 54.4
193 0.1 50.45 0.5 52.9 1 55.5
194 0.1 50.85 0.5 53 1 54.65
195 0.1 50.3 0.5 52.65 1 56.45
196 0.1 50.2 0.5 53.15 1 55.25
197 0.1 50.5 0.5 53.6 1 54.5
198 0.1 50.7 0.5 52.75 1 55.45
199 0.1 49.95 0.5 51.7 1 54.55
200 0.1 50.4 0.5 53.2 1 56.05
201 0.1 50.65 0.5 52.75 1 54.7
202 0.1 50.45 0.5 53.25 1 55.5
203 0.1 50.45 0.5 52.7 1 55.65
204 0.1 50.9 0.5 53.35 1 55.4
205 0.1 50.2 0.5 51.35 1 53.1
206 0.1 50.2 0.5 53.15 1 55.1
207 0.1 50.2 0.5 51.35 1 54.15
208 0.1 50.55 0.5 53.55 1 54.5
209 0.1 50.6 0.5 51.2 1 53
210 0.1 50.6 0.5 52.65 1 55.55
211 0.1 50.55 0.5 52.7 1 55.15
212 0.1 50.45 0.5 52.25 1 55.35
213 0.1 50.7 0.5 53.05 1 55.75
