### MJDNOWprego_n120_M10000_v0.5_mu10_mu20_lambda3_S010_std10.1_std20.1_tmax1
i t1 x1 t2 x2 t3 x3
1 0.1 10.0666666666667 0.5 9.44166666666667 1 10.5416666666667
2 0.1 10.5583333333333 0.5 14.6583333333333 1 10.2166666666667
3 0.1 11.2083333333333 0.5 10.1666666666667 1 11.7166666666667
4 0.1 9.53333333333333 0.5 9.30833333333333 1 7.08333333333333
5 0.1 11.2916666666667 0.5 8.70833333333333 1 6.66666666666667
6 0.1 9.69166666666667 0.5 9.95 1 10.75
7 0.1 9.80833333333333 0.5 10.275 1 8.84166666666667
8 0.1 9.975 0.5 9.95833333333333 1 10.2666666666667
9 0.1 10.8166666666667 0.5 9.15 1 8.30833333333333
10 0.1 9.58333333333333 0.5 9.16666666666667 1 9.675
11 0.1 9.625 0.5 10.375 1 9.85833333333333
12 0.1 9.84166666666667 0.5 9.9 1 10.7666666666667
13 0.1 10.375 0.5 12.4666666666667 1 12.5666666666667
14 0.1 10.0166666666667 0.5 10.5333333333333 1 10.4416666666667
15 0.1 9.81666666666667 0.5 8.575 1 10.2166666666667
16 0.1 10.1583333333333 0.5 8.64166666666667 1 8.40833333333333
17 0.1 12.9 0.5 13.0583333333333 1 11.8666666666667
18 0.1 10.5333333333333 0.5 6.99166666666667 1 7.35
19 0.1 9.90833333333333 0.5 15.65 1 11.6833333333333
20 0.1 9.96666666666667 0.5 9.06666666666667 1 9.825
21 0.1 8.20833333333333 0.5 8.56666666666667 1 8.4
22 0.1 10.1 0.5 12.6416666666667 1 14.5416666666667
23 0.1 9.8 0.5 10.5 1 10.0833333333333
24 0.1 10.6166666666667 0.5 9.75833333333333 1 8.58333333333333
25 0.1 10.25 0.5 10.15 1 10.0166666666667
26 0.1 10.4583333333333 0.5 9.68333333333333 1 6.55
27 0.1 10.3416666666667 0.5 9.33333333333333 1 10.0916666666667
28 0.1 9.925 0.5 9.66666666666667 1 11.3416666666667
29 0.1 9.9 0.5 8.975 1 7.75833333333333
30 0.1 9.85833333333333 0.5 10.475 1 9.85
31 0.1 10.2583333333333 0.5 11.0333333333333 1 8.36666666666667
32 0.1 10.45 0.5 10.35 1 13.925
33 0.1 10.2583333333333 0.5 9.075 1 7.65
34 0.1 10.075 0.5 10.35 1 8.95833333333333
35 0.1 10.6583333333333 0.5 11.7416666666667 1 11.2583333333333
36 0.1 8.65833333333333 0.5 9.06666666666667 1 8.14166666666667
37 0.1 10.2916666666667 0.5 12.075 1 13.025
38 0.1 9.8 0.5 8.925 1 9.44166666666667
39 0.1 9.7 0.5 11.4666666666667 1 11.9833333333333
40 0.1 9.95 0.5 11.15 1 9.13333333333333
41 0.1 10.475 0.5 12.8583333333333 1 9.30833333333333
42 0.1 9.9 0.5 9.075 1 7.875
43 0.1 9.86666666666667 0.5 8.63333333333333 1 9.29166666666667
44 0.1 9.24166666666667 0.5 9.55833333333333 1 10.2166666666667
45 0.1 9.475 0.5 12.6166666666667 1 13.9583333333333
46 0.1 9.8 0.5 11.6166666666667 1 12.5
47 0.1 9.6 0.5 9.20833333333333 1 9.425
48 0.1 9.63333333333333 0.5 7.125 1 6.225
49 0.1 10.35 0.5 9.21666666666667 1 9
50 0.1 11.6583333333333 0.5 13.2 1 13.3666666666667
51 0.1 8.85 0.5 9.675 1 9.06666666666667
52 0.1 11.525 0.5 11.075 1 10.6583333333333
53 0.1 10.7666666666667 0.5 11.5166666666667 1 11.7
