### BSdriftNOW_n120_M10000_v0.5_mu0_S010_std0.1_tmax1
i t x x2 x3 x4
1 0.1 9.99901083333332 100.080667604165 1002.72053141743 10056.4951697687
2 0.5 10.0018966666667 100.550494263887 1016.03127900638 10319.3462852951
3 1 10.0128283333333 101.266206277776 1034.47752239225 10673.879492947
