### BSdrift_n40_M10000_v0.5_mu0_S010_std0.1_tmax1
i t x x2 x3 x4
1 0.1 10.0014075000001 100.1259238125 1003.35855939845 10064.4459663673
2 0.5 10.0053875 100.597970562498 1016.40862927344 10319.84694628
3 1 10.014475 101.278002374999 1034.32436103438 10667.1855359908
